URL,Score,Keywords Found,type_page,description,headline,datePublished,dateModified,author
https://www.bbc.co.uk/news/politics?page=5,2,['trans '],CollectionPage,,Politics | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/reality_check?page=16,2,['trans '],CollectionPage,,BBC Verify | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/magazine,1,['transgender'],CollectionPage,,Stories - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vglnnwt?page=36,2,"['trans ', 'transgender']",CollectionPage,,NHS - BBC News,,,[]
https://www.bbc.co.uk/news/uk?page=3,4,"['trans ', 'trans people']",CollectionPage,,UK | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/articles/cy545xpkr40o,4,['queer'],ReportageNewsArticle,The American singer is already an icon to some as she embarks on her UK tour.,Chappell Roan: Singer's Manchester concert was more than a pop show,2024-09-14T01:26:54.395Z,2024-09-14T01:26:54.395Z,[]
https://www.bbc.co.uk/news/topics/cp7r8vglnnwt?page=30,3,"['trans ', 'cass']",CollectionPage,,NHS - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cz4pr2gd872t?page=5,1,['cass'],CollectionPage,,Music - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cyqpx7l3eydt?page=8,11,"['trans ', 'non-binary', 'non-binary']",CollectionPage,,Broadcasting - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cyqpx7l3eydt?page=9,2,['gender identity'],CollectionPage,,Broadcasting - BBC News,,,[]
https://www.bbc.co.uk/news/england/somerset?page=18,1,['cass'],CollectionPage,,Somerset | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/c4y268p9ng6t?page=13,1,['cass'],CollectionPage,,"Porlock - Latest News, Headlines and Entertainment from the BBC",,,[]
https://www.bbc.co.uk/news/topics/cyqpx7l3eydt?page=19,1,['cass'],CollectionPage,,Broadcasting - BBC News,,,[]
https://www.bbc.co.uk/news/entertainment_and_arts?page=8,2,['queer'],CollectionPage,,Culture | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world/us_and_canada?page=15,2,['trans '],CollectionPage,,US & Canada | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/entertainment_and_arts?page=13,2,['cass'],CollectionPage,,Culture | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world/us_and_canada?page=21,2,['cass'],CollectionPage,,US & Canada | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cljev449493t?page=29,2,['cass'],CollectionPage,,Strictly Come Dancing - BBC News,,,[]
https://www.bbc.co.uk/news/world/asia/india?page=10,4,"['trans ', 'transgender']",CollectionPage,,India | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cz4pr2gd872t?page=31,1,['cass'],CollectionPage,,Music - BBC News,,,[]
https://www.bbc.co.uk/news/entertainment_and_arts?page=23,2,['cass'],CollectionPage,,Culture | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cx1m7zg01xyt?page=12,1,['trans '],CollectionPage,,United States - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cz4pr2gd872t?page=37,1,['cass'],CollectionPage,,Music - BBC News,,,[]
https://www.bbc.co.uk/news/topics/c86lem0v6e8t?page=39,13,"['trans ', 'non-binary', 'gender identity', 'non-binary']",CollectionPage,,BBC - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cx1m7zg01xyt?page=17,1,['cass'],CollectionPage,,United States - BBC News,,,[]
https://www.bbc.co.uk/news/world/us_and_canada?page=42,2,['transgender'],CollectionPage,,US & Canada | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world-us-canada-66478140,1,['queer'],ReportageNewsArticle,Prosecutors allege the murder of professional dancer O'Shae Sibley was an anti-gay hate crime.,"O'Shae Sibley: Suspect, 17, pleads not guilty to hate crime",2023-08-11T17:46:33.000Z,2023-08-11T19:27:45.000Z,[]
https://www.bbc.co.uk/news/world-us-canada-64946119,2,"['transgender', 'gender identity']",ReportageNewsArticle,"This year's data is incomplete, but shows incidents against Asians more than doubled.",US hate crimes jumped in 2021 - FBI,2023-03-14T19:48:59.000Z,2023-03-14T19:48:59.000Z,[]
https://www.bbc.co.uk/news/topics/cgmxjyd1e5wt?page=13,1,['cass'],CollectionPage,,"Wells - Latest News, Headlines and Entertainment from the BBC",,,[]
https://www.bbc.co.uk/news/topics/cx1m7zg01xyt?page=33,1,['transgender'],CollectionPage,,United States - BBC News,,,[]
https://www.bbc.co.uk/news/topics/c40rjmqdwr7t?page=7,1,['queer'],CollectionPage,,Television - BBC News,,,[]
https://www.bbc.co.uk/news/education?page=31,2,['transgender'],CollectionPage,,Family & Education | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/england/sussex?page=22,2,['trans '],CollectionPage,,Sussex | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/c40rjmqdwr7t?page=17,1,['trans '],CollectionPage,,Television - BBC News,,,[]
https://www.bbc.co.uk/news/england/sussex?page=27,2,['trans '],CollectionPage,,Sussex | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/crr7mlg0gqqt?page=10,1,['trans '],CollectionPage,,Apple (AAPL) Shares Price & Latest News - BBC News,,,[]
https://www.bbc.co.uk/news/world/asia?page=27,4,"['trans ', 'transgender']",CollectionPage,,Asia | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/science_and_environment?page=26,2,['cass'],CollectionPage,,Science & Environment | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cjnwl8q4g7nt?page=9,1,['trans '],CollectionPage,,Japan - BBC News,,,[]
https://www.bbc.co.uk/news/england/berkshire?page=38,1,['transgender'],CollectionPage,,Berkshire | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/england/tees?page=17,4,"['trans ', 'trans woman']",CollectionPage,,Tees | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/c5rznn0nvvyt?page=12,4,"['trans ', 'transgender']",CollectionPage,,Asia - BBC News,,,[]
https://www.bbc.co.uk/news/business?page=19,2,['gender identity'],CollectionPage,,Business | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cv1v5k4n4p5t?page=5,2,['cass'],CollectionPage,,Young people - BBC News,,,[]
https://www.bbc.co.uk/news/england/cambridgeshire?page=13,1,['trans '],CollectionPage,,Cambridgeshire | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cv1v5k4n4p5t?page=23,3,"['trans ', 'trans?']",CollectionPage,,Young people - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cv1v5k4n4p5t?page=26,1,['transgender'],CollectionPage,,Young people - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cv1v5k4n4p5t?page=41,2,"['non-binary', 'non-binary']",CollectionPage,,Young people - BBC News,,,[]
https://www.bbc.co.uk/sport/football/teams/southampton?page=12,1,['cass'],CollectionPage,,Southampton - BBC Sport,,,[]
https://www.bbc.co.uk/news/england/bristol?page=19,1,['transgender'],CollectionPage,,Bristol | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world?page=38,2,['trans '],CollectionPage,,World | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt,2,"['trans ', 'trans people']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=2,3,['queer'],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=3,1,['trans '],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=4,2,"['transgender', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cmj34zmw7vmt?page=4,1,['trans '],CollectionPage,,Indonesia - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=5,1,['gender identity'],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=6,3,"['transgender', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cmj34zmw7vmt?page=6,1,['transgender'],CollectionPage,,Indonesia - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=7,4,"['transgender', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=8,1,['queer'],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/england/essex,2,['cass'],CollectionPage,,Essex | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=9,8,"['trans ', 'transgender', 'cass']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=10,1,['cass'],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=11,6,"['trans ', 'gender-critical', 'trans woman', 'cass']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=12,5,"['trans ', 'transgender']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=13,5,"['trans ', 'transgender']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cmj34zmw7vmt?page=13,5,"['trans ', 'transgender', 'trans rights']",CollectionPage,,Indonesia - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=14,7,"['trans ', 'gender critical', 'trans man', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=15,2,"['transgender', 'gender-critical']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=16,11,"['trans ', 'transgender', 'trans people', 'gender identity', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=17,1,['trans '],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=18,9,"['trans ', 'non-binary', 'adult human female', 'trans woman', 'queer', 'non-binary']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=19,5,"['trans ', 'transgender', 'gender identity', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=20,10,"['trans hate', 'trans ', 'trans man', 'trans woman', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=21,8,"['trans ', 'transgender', 'trans people', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/england/essex?page=14,1,['cass'],CollectionPage,,Essex | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=22,9,"['trans ', 'trans rights', 'gender-critical', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/scotland/scotland_politics?page=17,2,['cass'],CollectionPage,,Scotland Politics | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=24,4,"['trans ', 'trans people']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=25,2,"['trans ', 'transgender']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=26,6,['trans '],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=27,2,"['trans ', 'trans rights']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=28,3,"['trans ', 'trans woman']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cmj34zmw7vmt?page=28,1,['trans '],CollectionPage,,Indonesia - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=29,4,"['transgender', 'gender-critical', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=30,8,"['trans ', 'transgender', 'gender identity']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=31,8,"['trans ', 'transgender', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=32,2,"['trans ', 'transgender']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/scotland/scotland_politics?page=26,2,['trans '],CollectionPage,,Scotland Politics | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=33,4,"['transphobic', 'anti-trans', 'trans ']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cmj34zmw7vmt?page=34,1,['trans '],CollectionPage,,Indonesia - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=35,5,"['trans ', 'transgender', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=36,6,"['trans ', 'transgender', 'trans people']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=37,9,"['trans ', 'transgender', 'trans people', 'non-binary', 'gender identity', 'non-binary']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=38,2,['transgender'],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=40,4,"['trans ', 'trans woman', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/uk-england-shropshire-60232977,1,['cass'],ReportageNewsArticle,Former members of Ellesmere College Titans suffered eating disorders and severe mental health issues.,Ellesmere College Titans swimming club to close after damning report,2022-02-18T10:47:26.000Z,2022-02-18T17:21:22.000Z,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=41,4,"['trans ', 'transgender']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=42,3,"['transgender', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=1,2,"['trans ', 'trans people']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cdd52egw91kt?page=14,1,['cass'],CollectionPage,,"Taunton - Latest News, Headlines and Entertainment from the BBC",,,[]
https://www.bbc.co.uk/news/articles/crkmzzxpeg2o,3,"['transphobia', 'transphobic']",ReportageNewsArticle,Three Pride flags painted on a pavement outside Forest Gate station are vandalised again.,Forest Gate: 'Trauma' as Pride flags vandalised for fifth time,2024-08-21T15:26:08.063Z,2024-08-21T17:57:03.195Z,[]
https://www.bbc.co.uk/sport/olympics/paralympics-paris-2024/TRIWSPRINT--04020/results,1,['cass'],article,Catch up on the latest medal results for the Women's PTS4 competition at the Paris Paralympics 2024.,Women's PTS4 medal results - Paris Paralympics 2024,,,[]
https://www.bbc.co.uk/news/topics/crr7mlg0dg1t?page=12,1,['transgender'],CollectionPage,,Labour Party - BBC News,,,[]
https://www.bbc.co.uk/news/england/essex?page=1,2,['cass'],CollectionPage,,Essex | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/articles/cx2n857kk1xo,2,['queer'],ReportageNewsArticle,Events include a march through the High Street and performances at the city's Firstsite gallery.,Colchester Pride organisers hope for day of 'joy and solidarity',2024-08-17T05:41:15.879Z,2024-08-17T05:41:15.879Z,[]
https://www.bbc.co.uk/sport/football/league-two?page=13,1,['cass'],CollectionPage,,League Two - BBC Sport,,,[]
https://www.bbc.co.uk/news/topics/c8y9zzkg126t?page=4,2,['transgender'],CollectionPage,,High Court  - BBC News,,,[]
https://www.bbc.co.uk/news/topics/c8y9zzkg126t?page=6,1,['transphobic'],CollectionPage,,High Court  - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cj3ergr8209t?page=10,2,['cass'],CollectionPage,,US Election 2024 | Latest News & Analysis | BBC News,,,[]
https://www.bbc.co.uk/news/topics/c8y9zzkg126t?page=10,2,"['transphobia', 'transphobic']",CollectionPage,,High Court  - BBC News,,,[]
https://www.bbc.co.uk/news/topics/crr7mlg0dg1t?page=36,3,"['trans ', 'trans people']",CollectionPage,,Labour Party - BBC News,,,[]
https://www.bbc.co.uk/news/england/dorset,1,['trans '],CollectionPage,,Dorset | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world/europe?page=8,2,['cass'],CollectionPage,,Europe | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/england/dorset?page=9,1,['trans '],CollectionPage,,Dorset | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world/europe?page=20,2,['trans '],CollectionPage,,Europe | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cywd23g0qg1t?page=38,1,['transphobia'],CollectionPage,,SNP (Scottish National Party) - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cwnpxwzd269t?page=4,1,['cass'],CollectionPage,,US politics - BBC News,,,[]
https://www.bbc.co.uk/sport/football/transfers?page=31,1,['cass'],CollectionPage,,Football Transfer News & Confirmed Deals - BBC Sport,,,[]
https://www.bbc.co.uk/news/northern_ireland?page=39,2,['transgender'],CollectionPage,,Northern Ireland | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/sport/cycling/57725179,1,['cass'],Article,Britain's Mark Cavendish makes history in the Tour de France by equalling Eddy Merckx's Tour stage win record of 34.,Mark Cavendish equals Eddy Merckx's Tour de France stage win record of 34,2021-07-09T15:31:22.000Z,2021-07-09T17:10:12.000Z,[]
https://www.bbc.co.uk/news/england/dorset?page=1,1,['trans '],CollectionPage,,Dorset | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cwnpxwzd269t?page=27,1,['transgender'],CollectionPage,,US politics - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cwnpxwzd269t?page=28,1,['transgender'],CollectionPage,,US politics - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cr0meyljjxdt?page=9,1,['trans '],CollectionPage,,"Bournemouth - Latest News, Headlines and Entertainment from the BBC",,,[]
https://www.bbc.co.uk/news/topics/cwnpxwzd269t?page=39,1,['transgender'],CollectionPage,,US politics - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgl2lgt?page=38,1,['cass'],CollectionPage,,Donald Trump - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cvenzmgygl7t?page=3,4,"['trans ', 'trans man']",CollectionPage,,Parenting - BBC News,,,[]
https://www.bbc.co.uk/news/world/latin_america?page=27,8,"['non-binary', 'non-binary']",CollectionPage,,Latin America | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world/latin_america?page=37,2,['trans '],CollectionPage,,Latin America | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cywd23g04get?page=17,2,['transgender'],CollectionPage,,Colombia - BBC News,,,[]
https://www.bbc.co.uk/news/topics/czm9g11ze5gt?page=15,2,"['trans ', 'trans woman']",CollectionPage,,"Hertford - Latest News, Headlines and Entertainment from the BBC",,,[]
https://www.bbc.co.uk/news/world/africa?page=11,2,['transgender'],CollectionPage,,Africa | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world-africa-13943662,2,['trans-'],ReportageNewsArticle,"Provides an overview of Niger, including key dates and facts about this west African country.",Niger country profile,2011-06-28T11:37:39.000Z,2023-08-04T12:18:37.000Z,[]
https://www.bbc.co.uk/news/topics/c40rjmqdlljt?page=5,1,['transgender'],CollectionPage,,Children - BBC News,,,[]
https://www.bbc.co.uk/news/world/africa?page=23,2,['queer'],CollectionPage,,Africa | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/sport/insight?page=3,1,['transgender'],CollectionPage,,Insight: In-depth stories from the world of sport - BBC Sport,,,[]
https://www.bbc.co.uk/news/england/oxford?page=12,1,['transgender'],CollectionPage,,Oxfordshire | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/england/oxford?page=25,1,['assigned at birth'],CollectionPage,,Oxfordshire | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/ce1qrvleleqt?page=22,2,['cass'],CollectionPage,,Artificial intelligence - BBC News,,,[]
https://www.bbc.co.uk/news/world-africa-13881370,1,['trans-'],ReportageNewsArticle,"Provides an overview of Mali, including key dates and facts about this west African country.",Mali country profile,2011-06-22T16:42:23.000Z,2023-07-28T10:33:43.000Z,[]
https://www.bbc.co.uk/news/topics/c8nq32jwjydt?page=22,1,['queer'],CollectionPage,,Lebanon - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cd1904ree0nt?page=21,2,['cass'],CollectionPage,,AI Business | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world-europe-17988453,1,['cass'],ReportageNewsArticle,"Provides an overview of Turkey, including key dates and facts about this transcontinental country.",Turkey country profile,2012-05-08T13:03:15.000Z,2023-08-22T11:48:02.000Z,[]
https://www.bbc.co.uk/news/topics/crggn4j2lm0t?page=25,2,['gender identity'],CollectionPage,,General election 2024 - BBC News,,,[]
https://www.bbc.co.uk/sport/football/teams/northern-ireland?page=2,1,['cass'],CollectionPage,,Northern Ireland Men's Football Team - BBC Sport,,,[]
https://www.bbc.co.uk/news/topics/c6gz765l6nmt?page=13,2,"['trans ', 'trans rights']",CollectionPage,,NI Health - BBC News,,,[]
https://www.bbc.co.uk/news/topics/c6gz765l6nmt?page=22,3,"['trans ', 'trans community', 'gender identity']",CollectionPage,,NI Health - BBC News,,,[]
https://www.bbc.co.uk/sport/weightlifting?page=5,6,['transgender'],CollectionPage,,Weightlifting - BBC Sport,,,[]
https://www.bbc.co.uk/sport/football/teams/liverpool?page=39,1,['cass'],CollectionPage,,"Liverpool FC - Transfer news, results, fixtures, video and audio",,,[]
https://www.bbc.co.uk/sport/football/teams/newcastle-united?page=8,6,['cass'],CollectionPage,,"Newcastle United FC - Transfer news, results, fixtures, video and audio",,,[]
https://www.bbc.co.uk/sport/football/articles/cye0l73x8lxo,1,['cass'],Article,"Check out the significant signings and departures in the Premier League, Scottish Premiership, EFL and Women's Super League.",Transfer news: All the done deals in June 2024,2024-07-01T06:13:50.461Z,2024-07-31T09:41:28.119Z,[]
https://www.bbc.co.uk/news/topics/cywd23g0g40t?page=2,1,['transgender'],CollectionPage,,Edinburgh Napier University - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cwlw3xz01nrt?page=6,1,['trans '],CollectionPage,,UK prisons - BBC News,,,[]
https://www.bbc.co.uk/sport/football/teams/aston-villa?page=12,1,['cass'],CollectionPage,,"Aston Villa FC - Transfer news, results, fixtures, video and audio",,,[]
https://www.bbc.co.uk/news/topics/cwlw3xz01nrt?page=15,1,['transgender'],CollectionPage,,UK prisons - BBC News,,,[]
https://www.bbc.co.uk/news/scotland/edinburgh_east_and_fife?page=13,2,['gender-critical'],CollectionPage,,"Edinburgh, Fife & East | Latest News & Updates | BBC News",,,[]
https://www.bbc.co.uk/sport/football/live/c9qg5n79rw3t,4,['cass'],article,"Follow live text commentary, score updates and match stats from Uruguay vs Guatemala in the Friendlies",Uruguay vs Guatemala: Friendlies - BBC Sport,,,[]
https://www.bbc.co.uk/sport/football/live/c9qg5n79rw3t?page=2,4,['cass'],article,"Follow live text commentary, score updates and match stats from Uruguay vs Guatemala in the Friendlies",Uruguay vs Guatemala: Friendlies - BBC Sport,,,[]
https://www.bbc.co.uk/sport/football/live/c9qg5n79rw3t?page=6,3,['cass'],article,"Follow live text commentary, score updates and match stats from Uruguay vs Guatemala in the Friendlies",Uruguay vs Guatemala: Friendlies - BBC Sport,,,[]
https://www.bbc.co.uk/sport/football/live/c9qg5n79rw3t?page=5,3,['cass'],article,"Follow live text commentary, score updates and match stats from Uruguay vs Guatemala in the Friendlies",Uruguay vs Guatemala: Friendlies - BBC Sport,,,[]
https://www.bbc.co.uk/sport/football/live/c9qg5n79rw3t?page=3,4,['cass'],article,"Follow live text commentary, score updates and match stats from Uruguay vs Guatemala in the Friendlies",Uruguay vs Guatemala: Friendlies - BBC Sport,,,[]
https://www.bbc.co.uk/sport/football/live/c9qg5n79rw3t?page=4,3,['cass'],article,"Follow live text commentary, score updates and match stats from Uruguay vs Guatemala in the Friendlies",Uruguay vs Guatemala: Friendlies - BBC Sport,,,[]
https://www.bbc.co.uk/news/scotland/edinburgh_east_and_fife?page=33,2,['adult human female'],CollectionPage,,"Edinburgh, Fife & East | Latest News & Updates | BBC News",,,[]
https://www.bbc.co.uk/sport/northern-ireland/motorbikes,2,['cass'],CollectionPage,,Motorbikes - BBC Sport,,,[]
https://www.bbc.co.uk/sport/darts?page=2,1,['transgender'],CollectionPage,,Darts - BBC Sport,,,[]
https://www.bbc.co.uk/news/topics/cm8m1l17ev3t?page=12,1,['trans '],CollectionPage,,Instagram - BBC News,,,[]
https://www.bbc.co.uk/news/articles/c136yjn7d04o,3,"['non-binary', 'queer', 'non-binary']",ReportageNewsArticle,"Ireland has won seven times, and finished in the top five on 18 occasions - making it the most successful overall",Johnny Logan to Dana: Ireland's history as Eurovision royalty,2024-05-08T15:34:36.890Z,2024-05-08T15:34:36.890Z,[]
https://www.bbc.co.uk/news/topics/cg41ylwvgjyt,1,['queer'],CollectionPage,,Film - BBC News,,,[]
https://www.bbc.co.uk/sport/football/teams/accrington-stanley?page=20,1,['cass'],CollectionPage,,Accrington Stanley - BBC Sport,,,[]
https://www.bbc.co.uk/news/topics/cg41ylwvgjyt?page=12,1,['trans '],CollectionPage,,Film - BBC News,,,[]
